,subject_ID,stats_image_parcel3,voxels_numb_parcel3,min_parcel3,10%_parcel3,mean_parcel3,median_parcel3,90%_parcel3,max_parcel3,stddev_parcel3,vox1_parcel3,vox2_parcel3,vox3_parcel3,mm1_parcel3,mm2_parcel3,mm3_parcel3
11,sllip_014,stats/zstat1,1119,-2.652,-0.4754,0.4579,0.4273,1.401,3.156,0.7486,18,54,43,-51,3,40.2
11,sllip_014,stats/zstat2,1119,-3.156,-1.401,-0.4579,-0.4273,0.4754,2.652,0.7486,24,45,36,-36,-19.5,21
12,sllip_016,stats/zstat1,1119,-1.524,-0.8914,-0.176,-0.2573,0.6806,1.665,0.6168,18,45,36,-51.5,-20,20.5
12,sllip_016,stats/zstat2,1119,-1.665,-0.6806,0.176,0.2573,0.8914,1.524,0.6168,23,44,44,-39,-22.5,42.5
13,sllip_023,stats/zstat1,1119,-2.737,-1.281,-0.08203,-0.1302,1.199,3.588,0.964,22,44,36,-41.5,-22.5,20.5
13,sllip_023,stats/zstat2,1119,-3.588,-1.199,0.08203,0.1302,1.281,2.737,0.964,21,50,37,-44,-7.5,23.2
14,sllip_025,stats/zstat1,1119,-2.007,-0.9519,-0.1679,-0.1936,0.6596,1.615,0.6123,21,50,37,-44,-7.5,23.2
14,sllip_025,stats/zstat2,1119,-1.615,-0.6596,0.1679,0.1936,0.9519,2.007,0.6123,22,45,42,-41.5,-20,37
15,sllip_026,stats/zstat1,1119,-2.983,-1.593,-0.5031,-0.5372,0.6084,2.664,0.8857,23,52,42,-38.5,-2,37.5
15,sllip_026,stats/zstat2,1119,-2.664,-0.6084,0.5031,0.5372,1.593,2.983,0.8857,22,47,36,-41,-14.5,21
16,sllip_027,stats/zstat1,1119,-2.683,-0.8765,0.2215,0.1398,1.525,4.141,0.9734,24,50,49,-36,-7,56.8
16,sllip_027,stats/zstat2,1119,-4.141,-1.525,-0.2215,-0.1398,0.8765,2.683,0.9734,27,44,40,-28.5,-22,32
17,sllip_029,stats/zstat1,1119,-3.966,-2.263,-1.167,-1.159,-0.1308,2.004,0.8556,23,50,38,-38.5,-7,26.5
17,sllip_029,stats/zstat2,1119,-2.004,0.1308,1.167,1.159,2.263,3.966,0.8556,18,46,45,-51,-17,45.8
18,sllip_030,stats/zstat1,1119,-1.018,-0.351,0.292,0.2525,1.04,2.351,0.5356,21,50,38,-44,-7.5,26
18,sllip_030,stats/zstat2,1119,-2.351,-1.04,-0.292,-0.2525,0.351,1.018,0.5356,24,45,49,-36.5,-20,56.2
19,sllip_037,stats/zstat1,1119,-2.432,-1.001,0.31,0.2014,1.801,4.293,1.09,18,51,37,-51,-4.5,23.8
19,sllip_037,stats/zstat2,1119,-4.293,-1.801,-0.31,-0.2014,1.001,2.432,1.09,19,44,46,-48.5,-22,48.5
20,sllip_038,stats/zstat1,1119,-3.783,-0.8317,0.2502,0.2985,1.322,3.551,0.8861,27,41,43,-28.5,-29.5,40.2
20,sllip_038,stats/zstat2,1119,-3.551,-1.322,-0.2502,-0.2985,0.8317,3.783,0.8861,20,44,37,-46,-22,23.8
21,sllip_039,stats/zstat1,1119,-2.785,-1.29,-0.106,-0.06513,0.9755,3.207,0.8952,20,51,37,-46,-4.5,23.8
21,sllip_039,stats/zstat2,1119,-3.207,-0.9755,0.106,0.06513,1.29,2.785,0.8952,19,47,41,-48.5,-14.5,34.8
22,sllip_046,stats/zstat1,1119,-1.643,-0.6193,0.4249,0.5126,1.285,2.543,0.7308,18,53,41,-51,0.5,34.8
22,sllip_046,stats/zstat2,1119,-2.543,-1.285,-0.4249,-0.5126,0.6193,1.643,0.7308,22,46,39,-41,-17,29.2
23,sllip_047,stats/zstat1,1119,0.1609,1.225,2.171,2.207,3.037,4.04,0.697,19,47,40,-48.5,-14.5,32
23,sllip_047,stats/zstat2,1119,-4.04,-3.037,-2.171,-2.207,-1.225,-0.1609,0.697,22,46,45,-41,-17,45.8
24,sllip_049,stats/zstat1,1119,-2.315,-0.5385,0.9232,0.8859,2.389,4.047,1.11,18,51,39,-51,-4.5,29.2
24,sllip_049,stats/zstat2,1119,-4.047,-2.389,-0.9232,-0.8859,0.5385,2.315,1.11,17,45,40,-53.5,-19.5,32
25,sllip_050,stats/zstat1,1119,-1.904,-0.5745,0.4895,0.3635,1.742,3.965,0.9171,22,46,41,-41,-17,34.8
25,sllip_050,stats/zstat2,1119,-3.965,-1.742,-0.4895,-0.3635,0.5745,1.904,0.9171,19,45,38,-48.5,-19.5,26.5
26,sllip_051,stats/zstat1,1119,-1.5,-0.2672,0.911,0.8904,2.017,4.664,0.9205,23,51,47,-38.5,-4.5,51.2
26,sllip_051,stats/zstat2,1119,-4.664,-2.017,-0.911,-0.8904,0.2672,1.5,0.9205,27,42,41,-28.5,-27,34.8
27,sllip_054,stats/zstat1,1119,-2.498,-0.9664,0.7133,0.7678,2.261,4.054,1.239,23,46,41,-38.5,-17,34.8
27,sllip_054,stats/zstat2,1119,-4.054,-2.261,-0.7133,-0.7678,0.9664,2.498,1.239,26,43,40,-31,-24.5,32
1,sllip_060,stats/zstat1,1119,-0.511,0.8505,1.906,1.919,2.918,4.235,0.8106,17,45,41,-53.5,-19.5,34.8
1,sllip_060,stats/zstat2,1119,-4.235,-2.918,-1.906,-1.919,-0.8505,0.511,0.8106,21,48,36,-43.5,-12,21
28,sllip_061,stats/zstat1,1119,-0.5171,0.7552,1.602,1.656,2.381,3.375,0.6344,26,44,39,-31,-22,29.2
28,sllip_061,stats/zstat2,1119,-3.375,-2.381,-1.602,-1.656,-0.7552,0.5171,0.6344,24,46,45,-36,-17,45.8
29,sllip_064,stats/zstat1,1119,-3.907,-1.385,-0.2136,-0.1513,0.8773,2.537,0.8756,23,44,40,-38.5,-22,32
29,sllip_064,stats/zstat2,1119,-2.537,-0.8773,0.2136,0.1513,1.385,3.907,0.8756,25,42,38,-33.5,-27,26.5
