,subject_ID,stats_image_parcel3,voxels_numb_parcel3,min_parcel3,10%_parcel3,mean_parcel3,median_parcel3,90%_parcel3,max_parcel3,stddev_parcel3,vox1_parcel3,vox2_parcel3,vox3_parcel3,mm1_parcel3,mm2_parcel3,mm3_parcel3
1,sllip_001,stats/zstat1,1119,-2.736,-1.902,-1.145,-1.161,-0.4156,0.4103,0.5806,21,47,40,-43.5,-14.5,32
1,sllip_001,stats/zstat2,1119,-0.4103,0.4156,1.145,1.161,1.902,2.736,0.5806,22,50,44,-41,-7,43
2,sllip_002,stats/zstat1,1119,-4.585,-2.63,-1.472,-1.466,-0.3821,1.653,0.9038,26,46,37,-31,-17,23.8
2,sllip_002,stats/zstat2,1119,-1.653,0.3821,1.472,1.466,2.63,4.585,0.9038,21,43,41,-43.5,-24.5,34.8
3,sllip_005,stats/zstat1,1119,-1.18,0.01161,0.5447,0.5498,1.093,1.869,0.4331,21,47,49,-43.5,-14.5,56.8
3,sllip_005,stats/zstat2,1119,-1.869,-1.093,-0.5447,-0.5498,-0.01161,1.18,0.4331,23,47,37,-38.5,-14.5,23.8
4,sllip_006,stats/zstat1,1119,-3.135,-2.196,-1.186,-1.297,0.04609,2.216,0.8319,22,44,48,-41,-22,54
4,sllip_006,stats/zstat2,1119,-2.216,-0.04609,1.186,1.297,2.196,3.135,0.8319,24,47,45,-36,-14.5,45.8
5,sllip_007,stats/zstat1,1119,-2.195,-1.475,-0.3925,-0.4019,0.6849,1.459,0.7997,22,52,42,-41,-2,37.5
5,sllip_007,stats/zstat2,1119,-1.459,-0.6849,0.3925,0.4019,1.475,2.195,0.7997,18,45,46,-51,-19.5,48.5
6,sllip_008,stats/zstat1,1119,-2.815,-1.21,-0.1629,-0.1685,0.796,3.002,0.8224,24,46,37,-36,-17,23.8
6,sllip_008,stats/zstat2,1119,-3.002,-0.796,0.1629,0.1685,1.21,2.815,0.8224,24,49,39,-36,-9.5,29.2
7,sllip_009,stats/zstat1,1119,-2.379,-0.8411,0.3256,0.2546,1.661,3.248,0.9532,24,50,42,-36,-7,37.5
7,sllip_009,stats/zstat2,1119,-3.248,-1.661,-0.3256,-0.2546,0.8411,2.379,0.9532,21,49,36,-43.5,-9.5,21
8,sllip_011,stats/zstat1,1119,-3.931,-1.854,-0.4286,-0.3051,0.8419,2.336,1.046,21,50,36,-43.5,-7,21
8,sllip_011,stats/zstat2,1119,-2.336,-0.8419,0.4286,0.3051,1.854,3.931,1.046,17,48,47,-53.5,-12,51.2
9,sllip_012,stats/zstat1,1119,-1.494,-0.4523,0.2548,0.1879,1.036,2.058,0.5987,27,46,40,-28.5,-17,32
9,sllip_012,stats/zstat2,1119,-2.058,-1.036,-0.2548,-0.1879,0.4523,1.494,0.5987,19,44,38,-48.5,-22,26.5
10,sllip_013,stats/zstat1,1119,-3.967,-1.698,-0.7675,-0.7379,0.1699,1.507,0.7365,20,45,42,-46,-19.5,37.5
10,sllip_013,stats/zstat2,1119,-1.507,-0.1699,0.7675,0.7379,1.698,3.967,0.7365,20,52,47,-46,-2,51.2
