,subject_ID,stats_image_parcel4,voxels_numb_parcel4,min_parcel4,10%_parcel4,mean_parcel4,median_parcel4,90%_parcel4,max_parcel4,stddev_parcel4,vox1_parcel4,vox2_parcel4,vox3_parcel4,mm1_parcel4,mm2_parcel4,mm3_parcel4
1,sllip_001,stats/zstat1,784,-2.576,-1.954,-1.492,-1.512,-1.017,-0.3452,0.3546,16,33,33,-56,-49.5,12.8
1,sllip_001,stats/zstat2,784,0.3452,1.017,1.492,1.513,1.954,2.576,0.3546,26,37,31,-31,-39.5,7.2
2,sllip_002,stats/zstat1,784,-5.791,-3.284,-1.846,-1.817,-0.3296,1.341,1.145,20,39,30,-46,-34.5,4.5
2,sllip_002,stats/zstat2,784,-1.341,0.3296,1.846,1.822,3.284,5.791,1.145,26,38,32,-31,-37,10
3,sllip_005,stats/zstat1,784,-0.9381,-0.3947,0.241,0.2081,0.8934,1.926,0.5098,23,35,39,-38.5,-44.5,29.2
3,sllip_005,stats/zstat2,784,-1.926,-0.8934,-0.241,-0.2025,0.3947,0.9381,0.5098,21,39,30,-43.5,-34.5,4.5
4,sllip_006,stats/zstat1,784,-2.463,-1.777,-0.8219,-0.9327,0.2097,2.899,0.8248,28,34,30,-26,-47,4.5
4,sllip_006,stats/zstat2,784,-2.899,-0.2097,0.8219,0.9346,1.777,2.463,0.8248,24,36,31,-36,-42,7.2
5,sllip_007,stats/zstat1,784,-2.252,-1.891,-1.397,-1.489,-0.8202,0.9302,0.4585,18,39,34,-51,-34.5,15.5
5,sllip_007,stats/zstat2,784,-0.9302,0.8202,1.397,1.492,1.891,2.252,0.4585,19,39,32,-48.5,-34.5,10
6,sllip_008,stats/zstat1,784,-3.16,-1.913,-0.8113,-0.8556,0.2398,3.153,0.9336,19,31,37,-48.5,-54.5,23.8
6,sllip_008,stats/zstat2,784,-3.153,-0.2398,0.8113,0.8558,1.913,3.16,0.9336,20,32,32,-46,-52,10
7,sllip_009,stats/zstat1,784,-2.488,-0.8571,0.2302,0.1673,1.391,3.011,0.883,18,34,38,-51,-47,26.5
7,sllip_009,stats/zstat2,784,-3.011,-1.391,-0.2302,-0.1651,0.8571,2.488,0.883,21,33,30,-43.5,-49.5,4.5
8,sllip_011,stats/zstat1,784,-2.681,-1.258,0.02977,-0.002677,1.481,3.331,1.065,24,34,30,-36,-47,4.5
8,sllip_011,stats/zstat2,784,-3.331,-1.481,-0.02977,0.00277,1.258,2.681,1.065,22,32,35,-41,-52,18.2
9,sllip_012,stats/zstat1,784,-1.976,-0.9129,-0.06648,-0.0872,0.8291,2.243,0.6785,19,39,30,-48.5,-34.5,4.5
9,sllip_012,stats/zstat2,784,-2.243,-0.8291,0.06648,0.08821,0.9129,1.976,0.6785,19,37,34,-48.5,-39.5,15.5
10,sllip_013,stats/zstat1,784,-2.896,-1.752,-0.7927,-0.77,0.1542,1.114,0.7516,24,35,30,-36,-44.5,4.5
10,sllip_013,stats/zstat2,784,-1.114,-0.1542,0.7927,0.771,1.752,2.896,0.7516,21,37,35,-43.5,-39.5,18.2
11,sllip_014,stats/zstat1,784,-4.188,-2.127,-0.26,-0.09998,1.275,3.565,1.332,19,33,32,-48.5,-49.5,10
