,subject_ID,stats_image_parcel4,voxels_numb_parcel4,min_parcel4,10%_parcel4,mean_parcel4,median_parcel4,90%_parcel4,max_parcel4,stddev_parcel4,vox1_parcel4,vox2_parcel4,vox3_parcel4,mm1_parcel4,mm2_parcel4,mm3_parcel4
11,sllip_014,stats/zstat2,784,-3.565,-1.275,0.26,0.1013,2.127,4.188,1.332,27,34,31,-28.5,-47,7.2
12,sllip_016,stats/zstat1,784,-2.422,-1.056,-0.2043,-0.09818,0.4554,1.821,0.6111,18,38,36,-51.5,-37.5,20.5
12,sllip_016,stats/zstat2,784,-1.821,-0.4554,0.2043,0.1014,1.056,2.422,0.6111,29,35,31,-24,-45,6.8
13,sllip_023,stats/zstat1,784,-5.669,-2.114,-0.4981,-0.3768,0.9047,2.913,1.274,22,37,35,-41.5,-40,17.8
13,sllip_023,stats/zstat2,784,-2.913,-0.9047,0.4981,0.3772,2.114,5.669,1.274,19,35,30,-49,-45,4
14,sllip_025,stats/zstat1,784,-2.034,-1.237,-0.4673,-0.4449,0.2952,1.666,0.5844,18,32,33,-51.5,-52.5,12.2
14,sllip_025,stats/zstat2,784,-1.666,-0.2952,0.4673,0.4482,1.237,2.034,0.5844,18,36,30,-51.5,-42.5,4
15,sllip_026,stats/zstat1,784,-3.322,-2.121,-0.9029,-0.8872,0.3333,1.746,0.9377,19,31,33,-48.5,-54.5,12.8
15,sllip_026,stats/zstat2,784,-1.746,-0.3333,0.9029,0.8897,2.121,3.322,0.9377,27,33,31,-28.5,-49.5,7.2
16,sllip_027,stats/zstat1,784,-2.927,-1.398,-0.2266,-0.2559,1.048,2.951,0.9701,19,37,38,-48.5,-39.5,26.5
16,sllip_027,stats/zstat2,784,-2.951,-1.048,0.2266,0.2563,1.398,2.927,0.9701,19,35,30,-48.5,-44.5,4.5
17,sllip_029,stats/zstat1,784,-3.321,-2.025,-0.8709,-0.8379,0.1604,1.576,0.8184,26,37,33,-31,-39.5,12.8
17,sllip_029,stats/zstat2,784,-1.576,-0.1604,0.8709,0.8382,2.025,3.321,0.8184,21,38,37,-43.5,-37,23.8
18,sllip_030,stats/zstat1,784,-2.082,-1.266,-0.4527,-0.4847,0.3861,2.253,0.6824,23,39,30,-39,-35,4
18,sllip_030,stats/zstat2,784,-2.253,-0.3861,0.4527,0.4867,1.266,2.082,0.6824,20,34,32,-46.5,-47.5,9.5
19,sllip_037,stats/zstat1,784,-2.534,-0.9383,0.2648,0.2442,1.554,3.297,0.9806,18,35,31,-51,-44.5,7.2
19,sllip_037,stats/zstat2,784,-3.297,-1.554,-0.2648,-0.2442,0.9383,2.534,0.9806,29,35,32,-23.5,-44.5,10
20,sllip_038,stats/zstat1,784,-3.01,-1.955,-0.3554,-0.5682,1.737,3.656,1.361,28,35,34,-26,-44.5,15.5
20,sllip_038,stats/zstat2,784,-3.656,-1.737,0.3554,0.5686,1.955,3.01,1.361,18,32,34,-51,-52,15.5
21,sllip_039,stats/zstat1,784,-2.58,-1.197,0.1314,0.2733,1.35,3.066,0.9992,26,33,30,-31,-49.5,4.5
21,sllip_039,stats/zstat2,784,-3.066,-1.35,-0.1314,-0.27,1.197,2.58,0.9992,25,34,34,-33.5,-47,15.5
22,sllip_046,stats/zstat1,784,-1.275,-0.1775,0.5891,0.5578,1.345,2.7,0.6131,26,34,37,-31,-47,23.8
22,sllip_046,stats/zstat2,784,-2.7,-1.345,-0.5891,-0.548,0.1775,1.275,0.6131,25,36,32,-33.5,-42,10
23,sllip_047,stats/zstat1,784,-1.713,1.055,2.048,2.165,2.808,4.684,0.7506,18,38,30,-51,-37,4.5
23,sllip_047,stats/zstat2,784,-4.684,-2.808,-2.048,-2.162,-1.055,1.713,0.7506,22,39,34,-41,-34.5,15.5
24,sllip_049,stats/zstat1,784,-2.988,-1.402,0.5115,0.7131,2.152,4.314,1.347,25,39,35,-33.5,-34.5,18.2
24,sllip_049,stats/zstat2,784,-4.314,-2.152,-0.5115,-0.71,1.402,2.988,1.347,24,36,32,-36,-42,10
25,sllip_050,stats/zstat1,784,-2.511,-1.229,-0.1496,-0.1201,0.9338,2.405,0.8525,21,31,37,-43.5,-54.5,23.8
25,sllip_050,stats/zstat2,784,-2.405,-0.9338,0.1496,0.1205,1.229,2.511,0.8525,27,38,33,-28.5,-37,12.8
26,sllip_051,stats/zstat1,784,-1.395,-0.295,0.765,0.7657,1.777,3.145,0.795,17,36,30,-53.5,-42,4.5
26,sllip_051,stats/zstat2,784,-3.145,-1.777,-0.765,-0.7651,0.295,1.395,0.795,22,34,30,-41,-47,4.5
27,sllip_054,stats/zstat1,784,-3.431,-1.524,-0.0582,-0.2257,1.674,4.599,1.276,21,31,36,-43.5,-54.5,21
27,sllip_054,stats/zstat2,784,-4.599,-1.674,0.0582,0.227,1.524,3.431,1.276,18,37,30,-51,-39.5,4.5
1,sllip_060,stats/zstat1,784,-1.804,-0.3729,0.7201,0.7531,1.758,2.814,0.8164,24,32,33,-36,-52,12.8
1,sllip_060,stats/zstat2,784,-2.814,-1.758,-0.7201,-0.751,0.3729,1.804,0.8164,25,35,30,-33.5,-44.5,4.5
28,sllip_061,stats/zstat1,784,-0.2936,0.7582,1.474,1.473,2.195,4.354,0.6049,18,38,36,-51,-37,21
28,sllip_061,stats/zstat2,784,-4.354,-2.195,-1.474,-1.472,-0.7582,0.2936,0.6049,17,33,35,-53.5,-49.5,18.2
29,sllip_064,stats/zstat1,784,-3.723,-1.42,-0.431,-0.3946,0.5444,2.009,0.817,27,34,35,-28.5,-47,18.2
29,sllip_064,stats/zstat2,784,-2.009,-0.5444,0.431,0.3971,1.42,3.723,0.817,28,34,32,-26,-47,10
