1	stats/zstat1	3089	-2.534	-1.593	-0.7543	-0.8035	0.1572	2.3	0.6877	24	48	23	-36	-12	-14.8
1	stats/zstat2	3089	-2.3	-0.1572	0.7543	0.8035	1.593	2.534	0.6877	20	48	31	-46	-12	7.2
1	stats/zstat1	3093	-6.631	-3.065	-1.379	-1.477	0.3859	5.974	1.415	11	47	24	-68.5	-14.5	-12
1	stats/zstat2	3093	-5.974	-0.3859	1.379	1.477	3.065	6.631	1.415	21	35	28	-43.5	-44.5	-1
2	stats/zstat1	3093	-4.107	-1.127	-0.217	-0.2122	0.7079	3.12	0.7438	11	47	27	-68.5	-14.5	-3.8
2	stats/zstat2	3093	-3.12	-0.7079	0.217	0.2122	1.127	4.107	0.7438	22	54	22	-41	3	-17.5
3	stats/zstat1	3093	-3.581	-2.169	-1.139	-1.253	0.1513	2.441	0.9234	11	43	27	-68.5	-24.5	-3.8
3	stats/zstat2	3093	-2.441	-0.1513	1.139	1.253	2.169	3.581	0.9234	18	48	32	-51	-12	10
4	stats/zstat1	3092	-3.162	-1.216	0.5335	0.7695	1.97	2.683	1.198	22	51	19	-41	-4.5	-25.8
4	stats/zstat2	3092	-2.683	-1.97	-0.5335	-0.7695	1.216	3.162	1.198	11	37	31	-68.5	-39.5	7.2
5	stats/zstat1	3093	-4.366	-1.837	-0.5575	-0.5223	0.6933	2.592	1.026	17	52	19	-53.5	-2	-25.8
5	stats/zstat2	3093	-2.592	-0.6933	0.5575	0.5223	1.837	4.366	1.026	14	37	33	-61	-39.5	12.8
6	stats/zstat1	3093	-3.687	-1.171	0.2208	0.2243	1.551	4.259	1.078	18	41	32	-51	-29.5	10
6	stats/zstat2	3093	-4.259	-1.551	-0.2208	-0.2243	1.171	3.687	1.078	17	35	25	-53.5	-44.5	-9.2
7	stats/zstat1	3093	-3.382	-1.077	0.223	0.2455	1.453	4.337	1.026	27	42	28	-28.5	-27	-1
7	stats/zstat2	3093	-4.337	-1.453	-0.223	-0.2455	1.077	3.382	1.026	11	38	30	-68.5	-37	4.5
8	stats/zstat1	3093	-1.648	0.08587	0.9332	0.9095	1.829	4.055	0.6854	21	49	20	-43.5	-9.5	-23
8	stats/zstat2	3093	-4.055	-1.829	-0.9332	-0.9095	-0.08587	1.648	0.6854	19	38	33	-48.5	-37	12.8
9	stats/zstat1	3093	-3.595	-1.901	-0.8416	-0.8485	0.2028	3.277	0.8397	14	38	24	-61	-37	-12
9	stats/zstat2	3093	-3.277	-0.2028	0.8416	0.8485	1.901	3.595	0.8397	21	45	30	-43.5	-19.5	4.5
10	stats/zstat1	3093	-5.456	-2.167	-0.3947	-0.3331	1.177	4.076	1.329	11	45	30	-68.5	-19.5	4.5
10	stats/zstat2	3093	-4.076	-1.177	0.3947	0.3331	2.167	5.456	1.329	11	45	26	-68.5	-19.5	-6.5
11	stats/zstat1	3093	-1.95	-0.4022	0.4876	0.5191	1.336	3.038	0.7174	18	48	32	-51.5	-12.5	9.5
11	stats/zstat2	3093	-3.038	-1.336	-0.4876	-0.5191	0.4022	1.95	0.7174	12	36	28	-66.5	-42.5	-1.5
12	stats/zstat1	3093	-6.647	-3.309	-0.774	-0.5084	1.355	4.971	1.841	19	43	31	-49	-25	6.8
12	stats/zstat2	3093	-4.971	-1.355	0.774	0.5084	3.309	6.647	1.841	14	42	29	-61.5	-27.5	1.2
13	stats/zstat1	3093	-3.143	-0.8199	0.1697	0.2285	1.076	2.734	0.764	21	52	27	-44	-2.5	-4.2
13	stats/zstat2	3093	-2.734	-1.076	-0.1697	-0.2285	0.8199	3.143	0.764	21	43	29	-44	-25	1.2
14	stats/zstat1	3093	-3.313	-1.534	-0.1096	-0.2055	1.473	3.763	1.142	15	52	24	-58.5	-2	-12
14	stats/zstat2	3093	-3.763	-1.473	0.1096	0.2055	1.534	3.313	1.142	22	48	23	-41	-12	-14.8
15	stats/zstat1	3093	-4.104	-2.093	-0.5037	-0.5158	1.044	4.824	1.267	14	39	23	-61	-34.5	-14.8
15	stats/zstat2	3093	-4.824	-1.044	0.5037	0.5158	2.093	4.104	1.267	15	47	24	-58.5	-14.5	-12
16	stats/zstat1	3093	-3.797	-2.064	-0.7212	-0.7556	0.6231	3.845	1.058	22	54	23	-41	3	-14.8
16	stats/zstat2	3093	-3.845	-0.6231	0.7212	0.7556	2.064	3.797	1.058	19	54	25	-48.5	3	-9.2
17	stats/zstat1	3093	-3.852	-0.5618	0.6981	0.7417	1.884	3.829	0.9693	17	44	22	-54	-22.5	-18
17	stats/zstat2	3093	-3.829	-1.884	-0.6981	-0.7417	0.5618	3.852	0.9693	12	50	28	-66.5	-7.5	-1.5
18	stats/zstat1	3093	-2.844	-0.7359	0.369	0.3938	1.434	4.213	0.8758	11	37	31	-68.5	-39.5	7.2
18	stats/zstat2	3093	-4.213	-1.434	-0.369	-0.3938	0.7359	2.844	0.8758	15	41	23	-58.5	-29.5	-14.8
19	stats/zstat1	3093	-4.635	-2.479	-0.8873	-0.9213	0.7455	3.173	1.244	26	39	29	-31	-34.5	1.8
19	stats/zstat2	3093	-3.173	-0.7455	0.8873	0.9213	2.479	4.635	1.244	11	43	31	-68.5	-24.5	7.2
1	stats/zstat1	3093	-3.053	-1.087	0.09456	0.1143	1.242	3.212	0.9046	11	42	26	-68.5	-27	-6.5
1	stats/zstat2	3093	-3.212	-1.242	-0.09456	-0.1143	1.087	3.053	0.9046	11	40	27	-68.5	-32	-3.8
2	stats/zstat1	3093	-2.872	-0.7578	0.2503	0.2887	1.235	2.43	0.7893	11	39	30	-68.5	-34.5	4.5
2	stats/zstat2	3093	-2.43	-1.235	-0.2503	-0.2887	0.7578	2.872	0.7893	13	39	28	-63.5	-34.5	-1
3	stats/zstat1	3093	-5.656	0.7654	2.38	2.635	3.7	6.559	1.313	11	42	24	-68.5	-27	-12
3	stats/zstat2	3093	-6.559	-3.7	-2.38	-2.635	-0.7654	5.656	1.313	11	38	27	-68.5	-37	-3.8
4	stats/zstat1	3093	-4.148	-1.405	0.263	0.253	1.933	5.016	1.353	16	56	22	-56	8	-17.5
4	stats/zstat2	3093	-5.016	-1.933	-0.263	-0.253	1.405	4.148	1.353	20	47	29	-46	-14.5	1.8
5	stats/zstat1	3093	-2.375	-0.5806	0.7115	0.7681	1.898	3.325	0.941	18	48	23	-51	-12	-14.8
5	stats/zstat2	3093	-3.325	-1.898	-0.7115	-0.7681	0.5806	2.375	0.941	25	40	28	-33.5	-32	-1
6	stats/zstat1	3093	-2.951	-0.8504	0.8434	0.9625	2.292	4.313	1.207	14	40	26	-61	-32	-6.5
6	stats/zstat2	3093	-4.313	-2.292	-0.8434	-0.9625	0.8504	2.951	1.207	21	46	28	-43.5	-17	-1
7	stats/zstat1	3093	-3.935	-1.601	-0.004153	0.01415	1.568	4.441	1.219	20	41	33	-46	-29.5	12.8
7	stats/zstat2	3093	-4.441	-1.568	0.004153	-0.01415	1.601	3.935	1.219	20	45	30	-46	-19.5	4.5
1	stats/zstat1	3093	-1.744	-0.1805	0.7452	0.7419	1.691	3.38	0.7153	17	45	33	-53.5	-19.5	12.8
1	stats/zstat2	3093	-3.38	-1.691	-0.7452	-0.7419	0.1805	1.744	0.7153	12	39	32	-66	-34.5	10
8	stats/zstat1	3093	-4.165	-0.03071	0.9378	0.9805	1.869	3.551	0.7657	20	57	24	-46	10.5	-12
8	stats/zstat2	3093	-3.551	-1.869	-0.9378	-0.9805	0.03071	4.165	0.7657	11	47	31	-68.5	-14.5	7.2
9	stats/zstat1	3093	-3.884	-1.529	-0.3825	-0.3912	0.8129	2.983	0.9434	23	52	19	-38.5	-2	-25.8
9	stats/zstat2	3093	-2.983	-0.8129	0.3825	0.3912	1.529	3.884	0.9434	12	37	26	-66	-39.5	-6.5
